סמל מוסד,שם מוסד,רשות חינוך,מחוז תקשוב,מגזר,מפקח,פיקוח,פוטנציאל תלמידים,תלמידים רשומים לקורס,אחוז תלמידים רשומים לקורס,תלמידים שנכנסו לקורס,אחוז תלמידים שנכנסו לקורס,תלמידים שביצעו משימה אחת לפחות,אחוז תלמידים שביצעו משימה אחת לפחות
193185,אולפנת שעלי תורה,בית שמש,ירושלים,יהודי,תמר אודס,ממלכתי דתי,87,64,74%,48,55%,47,54%
144600,ישיבה שעלי תורה,בית שמש,ירושלים,יהודי,תמר אודס,ממלכתי דתי,92,80,87%,70,76%,68,74%
338418,עתיד דביר בנים,בית שמש,ירושלים,יהודי,תמר אודס,ממלכתי דתי,79,79,100%,61,77%,60,76%
140202,עתיד שחר בית שמש,בית שמש,ירושלים,יהודי,תמר אודס,ממלכתי דתי,58,57,98%,45,78%,45,78%
141002,"חט""ב יצחק רבין",גבעת זאב,ירושלים,יהודי,ציפי יעקב,ממלכתי,27,27,100%,25,93%,24,89%
615955,"אח""י תקוע 2",גוש עציון,ירושלים,יהודי,יעקב מאיר קושלבסקי,ממלכתי דתי,113,70,62%,64,57%,63,56%
417832,חן נריה,גוש עציון,ירושלים,יהודי,יעקב מאיר קושלבסקי,ממלכתי דתי,62,62,100%,60,97%,60,97%
111328,כרמי יהודה,גוש עציון,ירושלים,יהודי,יעקב מאיר קושלבסקי,ממלכתי דתי,83,69,83%,68,82%,68,82%
511618,נווה הראל,גוש עציון,ירושלים,יהודי,יעקב מאיר קושלבסקי,ממלכתי דתי,46,43,93%,40,87%,40,87%
616151,נווה השחר,גוש עציון,ירושלים,יהודי,יעקב מאיר קושלבסקי,ממלכתי דתי,64,57,89%,58,91%,58,91%
759134,סדנת שילוב יובלים,גוש עציון,ירושלים,יהודי,יעקב מאיר קושלבסקי,ממלכתי דתי,6,0,0%,0,0%,0,0%
512509,קדם,גוש עציון,ירושלים,יהודי,יעקב מאיר קושלבסקי,ממלכתי דתי,42,1,2%,1,2%,1,2%
186395,ראשית,גוש עציון,ירושלים,יהודי,יעקב מאיר קושלבסקי,ממלכתי דתי,51,23,45%,18,35%,15,29%
140855,"חט""ב מבשרת",מבשרת ציון,ירושלים,יהודי,ציפי יעקב,ממלכתי,261,251,96%,208,80%,205,79%
188086,"דמוקרטי ע""ש נדב",מודיעין מכבים רעות,ירושלים,יהודי,טל כהן,ממלכתי,34,0,0%,0,0%,0,0%
344911,אורט עירוני ד,מודיעין מכבים רעות,ירושלים,יהודי,ציפי יעקב,ממלכתי,205,202,99%,199,97%,199,97%
